date,quantity
10/1/15,"64,796.00"
11/1/15,"37,894.00"
12/1/15,"38,374.00"
1/1/16,"43,308.00"
2/1/16,"44,886.00"
3/1/16,"44,394.00"
4/1/16,"37,946.00"
5/1/16,"60,990.00"
6/1/16,"58,868.00"
7/1/16,"60,712.00"
8/1/16,"90,141.00"
9/1/16,"61,826.00"
10/1/16,"33,558.00"
11/1/16,"79,556.00"
12/1/16,"44,710.00"
1/1/17,"54,958.00"
2/1/17,"43,054.00"
3/1/17,"88,896.00"
4/1/17,"56,108.00"
5/1/17,"62,686.00"
6/1/17,"69,230.00"
7/1/17,"56,038.00"
8/1/17,"58,518.00"
9/1/17,"6,654.00"
10/1/17,"40,586.00"
11/1/17,"19,736.00"
12/1/17,"23,012.00"
1/1/18,"73,464.00"
2/1/18,"41,204.00"
3/1/18,"44,374.00"
4/1/18,"53,014.00"
5/1/18,"46,197.33"
6/1/18,"47,861.78"
7/1/18,"72,550.00"
8/1/18,"122,250.00"
9/1/18,"37,004.00"
10/1/18,"39,060.00"
11/1/18,"47,582.00"
12/1/18,"58,326.00"
1/1/19,"64,618.00"
2/1/19,"65,110.00"
3/1/19,"46,618.00"
4/1/19,"47,368.00"
5/1/19,"11,948.00"
6/1/19,"78,748.00"
7/1/19,"56,464.00"
8/1/19,"30,772.00"
9/1/19,"33,742.00"
10/1/19,"106,734.00"
11/1/19,"61,672.00"
12/1/19,"25,900.00"
1/1/20,"23,936.00"
2/1/20,"39,128.00"
3/1/20,"80,931.00"
4/1/20,"56,368.00"
5/1/20,"31,326.00"
6/1/20,"71,656.00"
7/1/20,"46,318.00"
8/1/20,"48,380.00"
9/1/20,"100,282.00"
10/1/20,"32,450.00"
11/1/20,"11,712.00"
12/1/20,"51,020.00"
1/1/21,"58,281.00"
2/1/21,"86,490.00"
3/1/21,"33,878.00"
4/1/21,"42,299.00"
5/1/21,"23,820.00"
6/1/21,"40,974.00"
7/1/21,"41,337.00"
8/1/21,"67,178.00"
9/1/21,"48,637.00"
10/1/21,"78,000.00"
11/1/21,"37,686.00"
12/1/21,"48,348.00"
1/1/22,"55,686.00"
2/1/22,"39,117.00"
3/1/22,"51,818.00"
4/1/22,"36,476.00"